Cage_ID,Site_ID,Site_Type,Sampling_Time,Substrate_Type,Allocapnia,Maccaffertium,Chironomidae,Tipula,Dolophilodes,Cheumatopsyche,Isonychia,Plectrocnemia,Chimarra,Nigronia,Ameletus,Diplectrona,Eccoptura,Hydropsyche,Baetisca,Simulium,Isoperla,Dixa,Tropisternus,Anchytarsus,Psilotreta,Dubiraphia,Ptilostomis,Calopteryx,Molanna,Boyeria,Leptophlebia,Nyctiophylax,Argia,Rhyacophila,Probezzia,Neureclipsis,Eurylophella,Glossosoma,Rhagovelia,Neophylax,Microvelia,Hydatophylax,Antocha,Lepidostoma,Baetis,Oecetis,Ironoquia,Timpanoga,Polycentropus,Amphinemura,Penelomax,Ephemerella,Hemerodromia,Shipsa,Helichus,Neoleptophlebia,Attenella,Entomobryidae,Heptageniidae,Aeshna,Crambidae,Teloganopsis,Leptoceridae,Pycnopsyche,Triaenodes,Serratella,Optioservus,Hydrachnidia,Polymitarcyidae,Cambarus,Ancyronyx,Gammarus,Neoperla
Donor_Cage_01,Donor_02,Donor,Fall,Leaf,176,2,47,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_01,Donor_02,Donor,Fall,Rock,18,3,43,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_02,Donor_02,Donor,Fall,Leaf,204,2,95,4,0,1,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_02,Donor_02,Donor,Fall,Rock,29,5,25,1,1,15,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_03,Donor_02,Donor,Fall,Leaf,101,2,111,2,7,2,1,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_03,Donor_02,Donor,Fall,Rock,71,1,143,0,9,7,6,0,0,0,0,0,0,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_04,Donor_02,Donor,Fall,Leaf,138,0,78,13,1,4,1,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_04,Donor_02,Donor,Fall,Rock,25,4,111,0,6,11,7,0,17,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_05,Donor_02,Donor,Fall,Leaf,140,1,58,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_05,Donor_02,Donor,Fall,Rock,124,0,55,2,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_06,Donor_11,Donor,Fall,Leaf,16,1,45,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_06,Donor_11,Donor,Fall,Rock,0,0,2,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,26,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_07,Donor_11,Donor,Fall,Leaf,12,2,73,9,0,19,0,0,33,0,0,7,0,7,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_07,Donor_11,Donor,Fall,Rock,0,1,42,5,1,32,0,0,19,0,0,1,0,22,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_08,Donor_11,Donor,Fall,Leaf,5,2,73,7,0,43,0,0,18,0,0,3,0,1,0,0,0,0,1,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_08,Donor_11,Donor,Fall,Rock,4,10,29,2,0,17,0,0,13,2,0,0,0,5,0,0,0,0,1,13,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_09,Donor_11,Donor,Fall,Leaf,7,4,55,4,0,32,0,0,39,1,0,0,0,7,0,0,0,5,1,7,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_09,Donor_11,Donor,Fall,Rock,6,6,60,1,0,58,0,0,57,0,0,15,0,8,0,0,0,2,0,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_10,Donor_11,Donor,Fall,Leaf,9,6,40,97,0,31,0,0,57,2,0,0,0,43,0,0,0,0,5,2,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_10,Donor_11,Donor,Fall,Rock,1,14,78,0,0,67,0,0,49,1,0,10,0,1,0,0,0,2,0,9,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_11,Donor_13,Donor,Fall,Leaf,107,8,65,8,1,3,1,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_11,Donor_13,Donor,Fall,Rock,111,9,120,1,0,3,1,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_12,Donor_13,Donor,Fall,Leaf,193,11,22,1,7,0,0,0,17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_12,Donor_13,Donor,Fall,Rock,69,12,147,2,2,15,2,0,90,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_13,Donor_13,Donor,Fall,Leaf,267,7,89,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_13,Donor_13,Donor,Fall,Rock,39,9,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_14,Donor_13,Donor,Fall,Leaf,239,2,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donor_Cage_14,Donor_13,Donor,Fall,Rock,116,6,94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
